title,company,rating,locations,min_exp,max_exp,min_ctc,max_ctc,skills,job_profile,job_profile_id,avg_ctc,avg_exp
Integration Engineering - Software Engineer,Apple India Pvt Ltd,4.3,Hyderabad,3,6,3929999.0,4390000.0,"Software Engineering, Python, AWS, SQL, Java, C++, Angular, Javascript, HTML, Spark, MySQL, CSS, Software Development, MongoDB, Hadoop, Data Structures, Angularjs, Spring, Bootstrap, Rest, NoSQL",Software Engineer,3,4159999.5,4.5
Business Intelligence Data Engineer,Apple India Pvt Ltd,4.3,Hyderabad,3,7,2460000.0,3500000.0,"Data Engineering, SQL, Tableau, Analytics, ETL, Business Intelligence, BI, Data Visualization, Data Architecture, Analytical, Data Structures, Data Warehousing, SSRS, Performance Management, Data Pipeline, Extraction",Data Engineer,2153,2980000.0,5.0
Java Full Stack Developer,Schneider Electric,4.1,Bengaluru,7,12,919999.0,1260000.0,"SQL, Java, Angular, Java Fullstack, MySQL, Spring Boot, Azure Cloud, Microservices, Hibernate, J2EE, Rest",Full Stack Engineer,71657313,1089999.5,9.5
Software Engineer- Performance Engineering,Caterpillar Brazil,4.1,Bengaluru,5,10,1730000.0,1939999.0,"Engineering, Python, AWS, SQL, Java, Performance Testing, Javascript, AWS Cloud, Microsoft Azure, Monitoring, Appdynamics, TypeScript, JMeter, Selenium Webdriver, Root Cause Analysis, Groovy, Kibana, Data Profiling",Software Engineer,3,1834999.5,7.5
Senior Data Engineer,ABB INDIA LIMITED,4.0,Bengaluru,3,8,1420000.0,2070000.0,"Data Engineering, Python, SQL, Architecture, ETL, Azure Data Factory, Spark, Pyspark, Data Governance, Azure Databricks, SCALA, Data Warehousing, Continuous Integration, Delta, Azure Data Lake, Parquet",Data Engineer,13562,1745000.0,5.5
Software Engineer,Lowes Services India Private limited,4.0,Bengaluru,3,8,1880000.0,2080000.0,"Computer Science, Python, Machine Learning, Backend, Computer Vision, Postgresql, Monitoring, Application Development, TDD, SDLC",Software Engineer,3,1980000.0,5.5
Data Analyst,Sodexo Food Solutions India Pvt. Ltd.ces,4.0,Ahmedabad,2,6,880000.0,1280000.0,"Data Analysis, Excel, Modeling, Machine Learning, MS Office, Data Visualization, Interpretation, Documentation, Problem Solving, Communication Skills, Analytical, Process Improvement, Interpersonal Skills, Statistical Modeling, Database Maintenance",Data Analyst,301,1080000.0,4.0
Data Analyst,Sodexo Food Solutions India Pvt. Ltd.ces,4.0,Ahmedabad,2,6,880000.0,1280000.0,"Data Analysis, Excel, Modeling, Machine Learning, MS Office, Data Visualization, Interpretation, Problem Solving, Communication Skills, Analytical, Process Improvement, Interpersonal Skills, Statistical Modeling, Database Maintenance",Data Analyst,301,1080000.0,4.0
Data Scientist,KAS Services,4.5,Bengaluru,2,4,1839999.0,2230000.0,"Python, AWS, SQL, Artificial Intelligence, Machine Learning, Cloud, Microsoft Azure, Time Series, Agile Methodology",Data Scientist,11,2034999.5,3.0
Senior Principal Data Scientist,Red Hat,4.4,Bengaluru,13,23,3500000.0,9500000.0,,Data Scientist,11,6500000.0,18.0
Senior Software Engineer,Red Hat India Pvt Ltd,4.4,Bengaluru,4,9,3370000.0,3720000.0,"Digital Marketing, Python, Cloud Computing, Java, Coding, Golang, Kubernetes, Linux, Github, Programming, Production, CD, Gitlab, JIRA, Openshift, Slack, Continuous Integration, Maven, Gradle, Cursor",Software Engineer,1981,3545000.0,6.5
Senior Software Engineer,Red Hat India Pvt Ltd,4.4,Pune,4,9,3370000.0,3720000.0,"Software Engineering, Data Engineering, Python, SQL, Artificial Intelligence, Machine Learning, Java, Backend, Front End, Golang, Snowflake, Rust, ETL, Programming, ML, Natural Language Processing, Data Transformation",Software Engineer,1981,3545000.0,6.5
Software Engineer,Red Hat India Pvt Ltd,4.4,Pune,1,6,1870000.0,2070000.0,"AWS, Operating, Linux System Administration, Golang, Kubernetes, Linux, AWS Cloud, Programming, Production, CD, Docker, Openshift, TL, Ansible, Continuous Integration, IP, DNS, Grafana, Redhat Linux, Prometheus, TCP, RHEL, HTTP, SDK",Software Engineer,3,1970000.0,3.5
Senior Software Engineer - Networking,Red Hat India Pvt Ltd,4.4,Bengaluru,4,9,3370000.0,3720000.0,"Python, Networking, Cloud Computing, Linux, CD, C, Development, Communication Skills, Agile, Continuous Integration, Process, Scrum, Redhat Linux, Kernel, Linux Kernel, VPN, TCP, Presentation Skills, DHCP, VLAN, UDP",Software Engineer,1981,3545000.0,6.5
Senior Software Engineer - Virtualization Cloud Team,Red Hat India Pvt Ltd,4.4,Bengaluru,3,7,3370000.0,3720000.0,"Civil Engineering, Python, AWS, Oracle, C++, VMware, Linux, Github, Cloud, Programming, English, Software Development, GCP, C, Microsoft Azure, Development, Oracle Cloud, SPI, Hyperion, Deployment, Integration, Virtualization, RHEL, KVM, I2C, Cloud Integration",Software Engineer,1981,3545000.0,5.0
Senior Software Engineer,Red Hat India Pvt Ltd,4.4,Pune,4,9,3370000.0,3720000.0,"Writing, Python, Java, Golang, Kubernetes, Programming, CD, Communication Skills, Agile, Continuous Integration, Troubleshooting, Scrum, Redhat Linux, Root Cause Analysis, RHEL, Redhat Openshift, Verbal Communication",Software Engineer,1981,3545000.0,6.5
Senior Software Engineer,Red Hat India Pvt Ltd,4.4,Pune,4,9,3370000.0,3720000.0,"Computer Science, Software Engineering, DevOps, Python, AWS, Architecture, Backend, Kubernetes, SAP BusinessObjects, Software Development, CD, Infrastructure, Communication Skills, Analytical, Ansible, System, Framework, Rest",Software Engineer,1981,3545000.0,6.5
Patient Experience iCare Exchange Python Engineer,SANOFI HEALTHCARE INDIA PRIVATE LIMITED,4.0,Hyderabad,1,6,2200000.0,2510000.0,"Python, AWS, SQL, Snowflake, Github, Automation, Software Development, CD, Data Processing, Communication Skills, Continuous Integration, Teamwork, Troubleshooting, Athena, Scripting",Data Engineer,2153,2355000.0,3.5
Senior Software Engineer - React & .NET,ABB,4.0,Bengaluru,6,10,1500000.0,2500000.0,"React Native, Redux",Software Engineer,1981,2000000.0,8.0
Fullstack developer,IBM India Pvt. Limited,3.9,Bengaluru,2,4,2390000.0,2670000.0,"Java, Angular, Javascript, HTML, MySQL, Spring Boot, CSS, Software Development, MongoDB, C#, Angularjs, Spring, Bootstrap, jQuery, Hibernate, JSON, Ajax, Rest, Fullstack Development",Full Stack Engineer,14560,2530000.0,3.0
Senior Software Engineer - Confluent Kafka Team,IBM India Pvt. Limited,3.9,Bengaluru,4,7,2010000.0,2220000.0,"Software Engineering, SQL, Oracle, Java, Angular, Javascript, HTML, PLSQL, SQL Server, MySQL, Spring Boot, CSS, C#, Kafka, Angularjs, Spring, Microservices, jQuery, Hibernate, JSON, Web Services, Rest",Software Engineer,1981,2115000.0,5.5
Data Engineer-Data Platforms,IBM India Pvt. Limited,3.9,Mumbai,3,5,1270000.0,1400000.0,"Data Entry, Typing, Computer Operating, Power BI, Data Analysis, Data Analytics, Data Entry Operation, Python, Excel, SQL, Machine Learning, Tableau, Advanced Excel, Analytics, Data, Data Mining, Data Management, Data Visualization",Data Engineer,2153,1335000.0,4.0
Senior Software Engineer,PEPSICO GLOBAL BUSINESS SERVICES INDIA LLP,4.0,Hyderabad,4,7,2260000.0,3130000.0,"AWS, Architecting, Java, Backend, Cloud, Spring Boot, Software Development, Microsoft Azure, Development, Boot, Data Structures, Spring, Microservices, Algorithms, Rest, Design Patterns",Software Engineer,1981,2695000.0,5.5
Application developer-Cloud fullstack,IBM India Pvt. Limited,3.9,Pune,3,5,2390000.0,2670000.0,"Digital Marketing, DevOps, Python, AWS, Cloud Computing, Java, Kubernetes, Linux, Jenkins, MySQL, Spring Boot, Software Development, Microsoft Azure, Docker, JIRA, Ansible, Spring, Microservices, PaaS",Full Stack Engineer,14560,2530000.0,4.0
Data Analyst - Excel & PPT Expert,CMA CGM,4.0,Navi Mumbai,3,6,500000.0,1000000.0,"Data Analysis, Advanced Excel, PowerPoint",Data Analyst,301,750000.0,4.5
"Analyst ( SQL, Power BI, Supply Chain) Omni Fulfillment",Lowes Services India Private limited,4.0,Bengaluru,2,7,1180000.0,1390000.0,"Power BI, Data Analysis, Logistics, SQL, Business Analytics, Project Management, Supply Chain, Analytics, Data Processing, Process Improvement",Data Analyst,301,1285000.0,4.5
Senior Software Engineer,ABB INDIA LIMITED,4.0,Bengaluru,3,8,2140000.0,2360000.0,"Cyber Security, Security, Kubernetes, Angular, Key Account Management, Lead Generation, C#, Application Development, Infrastructure, TL, Https, RSA, Client, Provisioning, TCP, HTTP, Encryption",Software Engineer,1981,2250000.0,5.5
Data Engineer-Data Platforms-Snowflake,IBM India Pvt. Limited,3.9,Hyderabad,3,5,1270000.0,1400000.0,"Power BI, Python, AWS, SQL, Oracle, Tableau, Snowflake, Informatica, PLSQL, SQL Server, ETL, Spark, Informatica Powercenter, Microsoft Azure, Hadoop, Teradata, Data Warehousing, UNIX, Hive, UNIX Shell Scripting, Amazon Redshift",Data Engineer,2153,1335000.0,4.0
Application Developer-Cloud Fullstack,IBM India Pvt. Limited,3.9,Mumbai,6,8,2390000.0,2670000.0,"Digital Marketing, DevOps, Python, AWS, Cloud Computing, Java, Kubernetes, Linux, Jenkins, MySQL, Spring Boot, Software Development, Microsoft Azure, Docker, JIRA, Ansible, Spring, Microservices, PaaS",Full Stack Engineer,14560,2530000.0,7.0
Application Developer - Functions,Cargill Business Services India Private Limited,3.9,Bengaluru,3,8,2340000.0,3190000.0,"Supervision, Software Testing, Consulting, Talent Acquisition, Programming, Application Development, Onboarding, Room, SuccessFactors, Deployment, Integration, Configuration Management, Release, Configuration, Technology Solutions",Application Developer,99,2765000.0,5.5
Software Engineer,Cisco,4.1,Bengaluru,5,10,2430000.0,2690000.0,"Computer Science, Cisco, Project Management, Information Technology, Supply Chain, PLSQL, XML, Agile, Orchestration, JSON",Software Engineer,3,2560000.0,7.5
Software Engineer - Food,Cargill Business Services India Private Limited,3.9,Bengaluru,1,6,1720000.0,2240000.0,"Software Testing, Software Engineering, Engineering, Java, Javascript, HTML, Automation, CSS, Software Development, Troubleshooting, Continuous Improvement, Deployment, Debugging, Code Review, Integration Testing, Configuration, Software Solutions",Software Engineer,3,1980000.0,3.5
Sr Data Engineer I,American Express India,4.1,Chennai,6,11,2790000.0,3470000.0,"Python, SQL, Coding, Product Management, Analytics, Information Security, MySQL, Agile, Analytical Skills, RDBMS",Data Engineer,13562,3130000.0,8.5
Software Engineer (IV) - Premium Senior Engineer,TekWissen,4.9,Chennai,8,10,3429999.0,5050000.0,"SAP MM, SAP S4Hana",Software Engineer,1981,4239999.5,9.0
Software Engineer,Caterpillar Brazil,4.1,Chennai,10,15,1730000.0,1939999.0,"Cloud Services, Backend, Data Modeling, Orchestration, Security Compliance, System Integration, Technical Leadership, Asset Operations",Software Engineer,3,1834999.5,12.5
Software Engineer,Caterpillar Brazil,4.1,Bengaluru,2,7,1730000.0,1939999.0,"Digital Marketing, Manual Testing, Packaging, MySQL, Spring Boot, Monitoring, Application Development, Debugging, JSON, Web Services",Software Engineer,3,1834999.5,4.5
Software Engineer,Caterpillar Brazil,4.1,Chennai,5,9,1730000.0,1939999.0,"Computer Science, Architecture, Google Maps, Analytics, Android, Diagnostics, Troubleshooting, Sensors, Unit Testing, HTTP",Software Engineer,3,1834999.5,7.0
SR. DATA ENGINEER,TE Connectivity India Private Limited,4.1,Bengaluru,5,10,2500000.0,3540000.0,"Finance, SAP, Data Engineering, Python, Architecture, Accounts Receivable, Data, FPA, Pyspark, Data Architecture, Data Governance, Enterprise, Controllership, Framework, Collaboration, Stakeholder Management, Design Patterns, Data Domain",Data Engineer,13562,3020000.0,7.5
"Software Engineer (Python, Django, ServiceNow)",Cisco,4.1,Pune,5,10,2430000.0,2690000.0,"Python, Cisco, Coding, Product Management, Django, Application Support, Agile, Troubleshooting, Technical Documentation",Software Engineer,3,2560000.0,7.5
Software Engineer,Cisco,4.1,Bengaluru,4,9,2430000.0,2690000.0,"Digital Marketing, Python, SQL, Cisco, Data Management, Data Structures, Data Modeling, System Integration, NoSQL",Software Engineer,3,2560000.0,6.5
Software Engineer,Cisco,4.1,Hyderabad,5,10,2430000.0,2690000.0,"Computer Science, Python, Cisco, Coding, Product Management, Automation, Agile, Product Engineering, Workflow, IT Infrastructure Services",Software Engineer,3,2560000.0,7.5
Senior Software Engineer,Siemens Energy,4.0,"Pune, Gurugram",7,10,2070000.0,2790000.0,".NET, Flutter, Cloud, C#",Software Engineer,1981,2430000.0,8.5
Data Engineer,SANOFI HEALTHCARE INDIA PRIVATE LIMITED,4.0,Hyderabad,3,8,2200000.0,2510000.0,"Data Engineering, Python, SQL, Snowflake, Informatica, ETL, Business Intelligence, Spark, CD, Technical Analysis, Iics, SCALA, Agile, Data Structures, Data Warehousing, Continuous Integration, Scrum, Algorithms, Interpersonal Skills",Data Engineer,2153,2355000.0,5.5
Data Science & AI Specialist,ABB INDIA LIMITED,4.0,Bengaluru,2,5,1610000.0,1830000.0,"Python, Machine Learning, Kubernetes, MS Office, Programming, MATLAB, Docker, R, Communication Skills, Agile, Tensorflow, Optimization, Pytorch, Workflow, Simulink, Written Communication, Application Software, Scipy, Microsoft Flow",Data Scientist,11,1720000.0,3.5
Java Full Stack Developer,Optum,4.0,Pune,10,15,2000000.0,3500000.0,"Java, Angular, Azure DevOps, Spring Boot, Kafka, UI, Microservices",Full Stack Engineer,71657313,2750000.0,12.5
Data Scientist,TVS Credit Services Ltd,4.1,Chennai,2,7,1240000.0,1400000.0,"Python, SQL, Machine Learning",Data Scientist,11,1320000.0,4.5
JP Morgan Chase - Director - Applied Artificial Intelligence/Machine Learning - Software Engineering/Data & Agentic Systems (10-15 yrs),JP Morgan Chase,3.8,Bengaluru,10,15,2500000.0,2770000.0,"Artificial Intelligence, Machine Learning, generative ai",Software Engineer,3,2635000.0,12.5
Data Engineer,Optum,4.0,"Noida, New Delhi, Gurugram",6,10,1500000.0,3000000.0,"Python, Azure DevOps, Azure Data Factory, Data Bricks, Oracle ADF, Azure Databricks",Data Engineer,2153,2250000.0,8.0
Software Engineer,Cisco,4.1,Bengaluru,3,8,2430000.0,2690000.0,"Python, Oracle, Cisco, Coding, Information Technology, Product Management, Automation, Postgresql, Workflow, SDK",Software Engineer,3,2560000.0,5.5
Software Engineer,Cisco,4.1,Bengaluru,5,10,2430000.0,2690000.0,"Python, Oracle, Cisco, PLSQL, Automation, Order Management, ERP, MongoDB, SDLC, Green Belt",Software Engineer,3,2560000.0,7.5
Java Full Stack Developer Mid Airline Aviation Only Hyderabad,CGI,4.0,Hyderabad,5,8,700000.0,969999.0,"SQL, Java, Kubernetes, Spring Boot, Docker, Microservices",Full Stack Engineer,71657313,834999.5,6.5
Python FastAPI Pyspark AWS Professional,CGI Information Systems and Management Consultants,4.0,Hyderabad,3,6,710000.0,790000.0,"Data Science, Python, AWS, SQL, Machine Learning, Java, ETL, Big Data, Spark, MySQL, Natural Language Processing, Microsoft Azure, Pyspark, Hadoop, SCALA, Data Warehousing, Hive, Mapreduce, Oozie, Hdfs, Sqoop, HBase",Software Engineer,3,750000.0,4.5
Software Engineer - Data Engineering,Caterpillar Brazil,4.1,Chennai,5,10,1190000.0,1700000.0,"Computer Science, Python, SQL, Postgresql, Application Development, Data Structures, Debugging, OLAP, Software Quality",Data Engineer,2153,1445000.0,7.5
"Software Engineer-AIML, Python, AWS",CGI Information Systems and Management Consultants,4.0,Hyderabad,3,6,840000.0,1230000.0,"Digital Marketing, Software Engineering, DevOps, Python, AWS, SQL, Machine Learning, Java, Web Development, Javascript, Linux, HTML, Django, Jenkins, MySQL, CSS, Software Development, Natural Language Processing, Postgresql, Docker, Ansible, Rest",Ai Ml Engineer,71603921,1035000.0,4.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Pune,7,12,800000.0,880000.0,"Software Engineering, Project Management, Design, Skill Development, Agile, Scrum, Kanban, Software Solutions",Software Engineer,3,840000.0,9.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Pune,7,12,800000.0,880000.0,"Software Engineering, Architecture, Java, Coding, SAP BusinessObjects, Programming, Spring Boot, Boot, Agile, Continuous Integration, Spring, Microservices, Rest, Software Solutions",Software Engineer,3,840000.0,9.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Indore,7,12,800000.0,880000.0,"Adobe, Site, Software Engineering, Architecture, Java, CMS, Spring Boot, AEM, Spring, Technical Skills, Framework, JSP, Hibernate, J2EE, Servlets, Struts, Software Solutions",Software Engineer,3,840000.0,9.5
Custom Software Engineer,Accenture Solutions Pvt Ltd,3.7,Pune,3,8,800000.0,880000.0,".NET, Javascript, HTML, SAP BusinessObjects, Database Management, Programming, CSS, Full Stack, Agile, Fullstack Development, Agile Methodology, Design Patterns",Software Engineer,3,840000.0,5.5
